iter	Passed	Remaining
853	1390	237
854	1391	236
855	1393	234
856	1395	232
857	1396	231
858	1397	229
859	1398	227
860	1399	226
861	1401	224
862	1402	222
863	1404	221
864	1406	219
865	1407	217
866	1408	216
867	1409	214
868	1410	212
869	1412	210
870	1413	209
871	1414	207
872	1416	206
873	1418	204
874	1419	202
875	1421	201
876	1422	199
877	1423	197
878	1424	196
879	1426	194
880	1427	192
881	1428	191
882	1429	189
883	1431	187
884	1432	186
885	1434	184
886	1435	182
887	1436	181
888	1438	179
889	1440	178
890	1441	176
891	1442	174
892	1444	173
893	1445	171
894	1447	169
895	1449	168
896	1451	166
897	1452	164
898	1453	163
899	1455	161
900	1456	160
901	1458	158
902	1459	156
903	1461	155
904	1462	153
905	1464	151
906	1466	150
907	1467	148
908	1469	147
909	1470	145
910	1471	143
911	1473	142
912	1474	140
913	1476	138
914	1478	137
915	1479	135
916	1481	134
917	1482	132
918	1484	130
919	1485	129
920	1486	127
921	1488	125
922	1490	124
923	1491	122
924	1492	121
925	1494	119
926	1495	117
927	1497	116
928	1498	114
929	1499	112
930	1501	111
931	1502	109
932	1504	108
933	1505	106
934	1507	104
935	1508	103
936	1510	101
937	1511	99
938	1513	98
939	1514	96
940	1515	95
941	1517	93
942	1519	91
943	1521	90
944	1523	88
945	1524	87
946	1526	85
947	1527	83
948	1529	82
949	1530	80
950	1532	78
951	1534	77
952	1536	75
953	1537	74
954	1538	72
955	1540	70
956	1542	69
957	1543	67
958	1544	66
959	1546	64
960	1549	62
961	1550	61
962	1551	59
963	1553	57
964	1554	56
965	1556	54
966	1557	53
967	1558	51
968	1560	49
969	1562	48
970	1563	46
971	1565	45
972	1566	43
973	1568	41
974	1569	40
975	1571	38
976	1572	37
977	1573	35
978	1575	33
979	1577	32
980	1579	30
981	1580	28
982	1581	27
983	1584	25
984	1585	24
985	1586	22
986	1588	20
987	1589	19
988	1591	17
989	1593	16
990	1594	14
991	1596	12
992	1597	11
993	1598	9
994	1599	8
995	1601	6
996	1603	4
997	1605	3
998	1607	1
999	1608	0
